Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
03/06/2021 03:00,8331.646758,1293.006775,3229.103973,691.302731,9489.426516,2188.976962,4482.311027,1018.201989,30723.976731
03/06/2021 04:00,8277.892602,1300.49085,3243.490431,697.122524,9575.084409,2144.771331,4518.816921,1027.550788,30785.219856
03/06/2021 05:00,8358.428273,1303.938424,3253.883702,710.613927,9815.252422,2143.817778,4568.912168,1044.212034,31199.058727
03/06/2021 06:00,8553.575756,1382.421768,3269.568293,738.748201,10385.94998,2195.327396,4736.14075,1077.929269,32339.661412
03/06/2021 07:00,8833.605586,1505.571878,3305.072133,773.439425,11123.476316,2280.068618,5027.398528,1138.778621,33987.411104
03/06/2021 08:00,9007.131716,1569.932734,3310.97452,796.916163,11699.464443,2349.526941,5292.842085,1181.667264,35208.455867
03/06/2021 09:00,9299.194208,1565.351391,3277.405169,789.585171,11879.178695,2465.613566,5453.90331,1186.310321,35916.541831
03/06/2021 10:00,9503.651847,1532.683929,3234.300866,769.394036,11775.011241,2546.8045,5514.15908,1162.9054,36038.910899
03/06/2021 11:00,9633.424043,1452.105482,3179.202123,737.294754,11501.551146,2583.657017,5486.601335,1122.232664,35696.068563
03/06/2021 12:00,9707.76449,1409.870169,3149.734879,690.310174,11078.54355,2617.884921,5438.188065,1097.38211,35189.678357
03/06/2021 13:00,9688.46781,1349.720014,3137.980591,652.333459,10736.320978,2647.129267,5402.099114,1079.732763,34693.783996
03/06/2021 14:00,9664.547244,1307.153452,3140.480087,632.066126,10441.40736,2665.716595,5307.241145,1056.815304,34215.427313
03/06/2021 15:00,9610.91179,1274.576187,3155.178727,617.797554,10181.98327,2694.24357,5266.228596,1028.613137,33829.532831
03/06/2021 16:00,9675.508668,1278.307382,3130.911549,614.099055,10152.755224,2726.510875,5255.064628,985.922784,33819.080165
03/06/2021 17:00,9693.470328,1284.166085,3147.00781,616.047445,10151.283296,2739.691201,5338.209097,995.482831,33965.358093
03/06/2021 18:00,9614.356904,1308.730348,3176.774492,623.921285,10290.965192,2690.797571,5423.222482,1026.491505,34155.25978
03/06/2021 19:00,9737.424184,1378.529877,3217.390223,644.427364,10647.404132,2691.929607,5611.784136,1058.315905,34987.205429
03/06/2021 20:00,9907.092634,1428.34068,3286.333417,668.956427,11058.282373,2782.348642,5804.061196,1098.81112,36034.226491
03/06/2021 21:00,9849.695288,1442.727385,3285.24763,670.451599,10978.560328,2734.52456,5698.670633,1103.879098,35763.756522
03/06/2021 22:00,9707.70171,1438.115599,3294.70185,668.728259,10905.819755,2679.719404,5546.495168,1101.2931,35342.574846
03/06/2021 23:00,9477.694836,1419.81359,3290.006713,660.927962,10652.875426,2605.920966,5354.318426,1084.291786,34545.849704
03/06/2021 24:00,9196.144733,1368.729441,3304.651235,651.60456,10403.094352,2504.400757,5146.432933,1062.681508,33637.739519
03/07/2021 01:00,9041.070507,1343.278432,3043.171697,654.563075,10289.945724,2435.623435,4972.376936,1072.838621,32852.868428
03/07/2021 02:00,8904.650195,1334.592937,3047.222383,659.447622,10240.212338,2355.264674,4890.907598,1068.890041,32501.187788
03/07/2021 03:00,8848.17364,1344.75393,3007.962019,671.378706,10244.002046,2307.569108,4897.110284,1074.743171,32395.692904
03/07/2021 04:00,8833.523056,1361.799857,3041.469322,682.477289,10369.006693,2286.479048,4948.209031,1096.263781,32619.228077
03/07/2021 05:00,8927.784289,1367.657104,3059.341576,702.024942,10591.740559,2306.523314,5057.776941,1117.551134,33130.399859
03/07/2021 06:00,9147.902973,1397.044257,3068.038676,721.034429,11065.239282,2377.098387,5223.853151,1150.529822,34150.740977
03/07/2021 07:00,9442.673497,1508.054681,3093.981687,756.995636,11644.520322,2462.8721,5569.072163,1208.364666,35686.534753
03/07/2021 08:00,9609.496916,1570.523742,3098.377887,780.070313,12104.423986,2514.919283,5821.917163,1240.876584,36740.605874
03/07/2021 09:00,9817.602729,1587.658386,3053.551459,774.120144,12136.222457,2605.524247,5812.807689,1232.461356,37019.948466
03/07/2021 10:00,9903.172198,1523.162699,3004.68783,747.721456,11952.692209,2640.113806,5710.631416,1198.365113,36680.546728
03/07/2021 11:00,9884.592195,1454.649985,2963.126308,709.308016,11566.611157,2619.140455,5543.484487,1150.472514,35891.385117
03/07/2021 12:00,9826.679771,1395.552141,2921.620028,676.940999,11197.173591,2630.077868,5394.474119,1108.856006,35151.374523
03/07/2021 13:00,9765.887316,1351.070037,2898.600585,655.502794,10876.609536,2655.564969,5299.955167,1077.836302,34581.026707
03/07/2021 14:00,9690.958887,1317.250688,2868.408192,633.886049,10546.049912,2649.667292,5208.113838,1051.920302,33966.25516
03/07/2021 15:00,9678.03857,1273.649982,2877.822146,627.244665,10324.028752,2655.525589,5199.224164,1035.322579,33670.856446
03/07/2021 16:00,9692.871318,1291.623938,2882.551347,623.359559,10253.646759,2655.498563,5247.224883,1035.068479,33681.844846
03/07/2021 17:00,9740.220787,1302.2168,2890.533024,628.486455,10382.632443,2668.714379,5397.477147,1039.085538,34049.366573
03/07/2021 18:00,9771.409521,1331.523252,2897.74817,640.276682,10582.249198,2691.649915,5574.730743,1056.05999,34545.647472
03/07/2021 19:00,10009.470398,1385.95901,2893.022622,668.619984,11141.772144,2783.480501,5836.835609,1088.897771,35808.058039
03/07/2021 20:00,10295.959651,1443.654894,2969.663534,700.117593,11629.983137,2917.273023,6061.496132,1150.120404,37168.268367
03/07/2021 21:00,10256.793946,1455.680142,2984.380747,703.800014,11585.784824,2909.681674,5955.039197,1147.971517,36999.132061
03/07/2021 22:00,10066.071309,1423.638098,2998.864267,689.854712,11330.74064,2846.8631,5754.649105,1127.657923,36238.339155
03/07/2021 23:00,9679.51013,1365.274167,2990.35797,663.00808,10829.548338,2695.394556,5444.460857,1089.068493,34756.622591
03/07/2021 24:00,9297.006363,1304.921231,2985.769512,645.956042,10334.164094,2510.748708,5087.068817,1052.987505,33218.622272
03/08/2021 01:00,8873.770818,1230.218454,3177.410445,632.717095,10139.692596,2253.549036,4866.631332,999.923504,32173.913281
03/08/2021 02:00,8805.488106,1227.189069,3163.50861,635.262095,10080.878594,2160.111455,4748.036615,1001.761565,31822.23611
03/08/2021 03:00,8828.378024,1256.366583,3158.982894,647.061371,10163.234235,2107.30156,4751.959906,1020.865964,31934.150537
03/08/2021 04:00,8964.722082,1303.817452,3159.626751,662.867255,10387.736557,2099.267233,4833.236675,1039.410807,32450.684812
03/08/2021 05:00,9275.084121,1377.884693,3188.704539,690.984472,10839.838374,2132.886513,5031.048466,1068.069672,33604.500851
03/08/2021 06:00,9906.940772,1501.722819,3235.607143,732.573487,11762.006647,2268.51553,5440.268272,1120.462571,35968.09724
03/08/2021 07:00,10681.743815,1688.166935,3269.962899,797.964187,13057.950342,2475.294411,6072.149828,1224.655594,39267.888011
03/08/2021 08:00,10983.189683,1747.001455,3289.996211,817.341558,13625.568746,2576.506832,6378.062386,1262.411395,40680.078265
03/08/2021 09:00,10939.087507,1663.737141,3262.00741,790.640658,13253.516613,2641.521241,6392.800124,1240.961405,40184.2721
03/08/2021 10:00,10821.992328,1567.607072,3251.976081,761.26682,12820.02846,2714.273718,6258.369406,1220.05136,39415.565244
03/08/2021 11:00,10649.904213,1488.252796,3245.994566,738.208473,12492.080724,2812.952255,6066.848001,1183.952442,38678.19347
03/08/2021 12:00,10577.434599,1430.159356,3236.882029,717.220849,12121.656188,2888.857759,5970.921978,1160.326106,38103.458866
03/08/2021 13:00,10549.102164,1388.279934,3220.715006,701.890013,11907.882801,2947.209706,5895.376818,1137.694798,37748.151239
03/08/2021 14:00,10557.259826,1366.763227,3260.829357,692.509759,11717.374272,2983.454676,5834.74421,1120.041083,37532.97641
03/08/2021 15:00,10582.289771,1353.994684,3287.127162,687.896955,11606.434676,2997.981994,5769.804103,1095.022711,37380.552055
03/08/2021 16:00,10595.796965,1350.31028,3284.732767,684.550655,11522.439451,3009.315939,5728.521819,1075.077309,37250.745185
03/08/2021 17:00,10466.876749,1344.08244,3314.194626,681.326928,11463.653565,2995.360225,5829.898382,1099.584706,37194.977621
03/08/2021 18:00,10384.704744,1355.108975,3320.546365,686.318052,11630.819565,2976.800783,5982.757963,1107.378747,37444.435193
03/08/2021 19:00,10524.960235,1415.719573,3322.887573,711.88263,12030.723834,3018.023635,6209.92062,1128.282407,38362.400506
03/08/2021 20:00,10617.50661,1448.727756,3345.19594,732.755139,12328.306676,3111.949045,6342.588048,1157.669534,39084.698748
03/08/2021 21:00,10423.168663,1433.429984,3356.829674,726.408338,12143.638899,3075.438286,6170.296233,1157.481292,38486.691369
